category,path,expected_count,authority,classification,notes
"CHAOS_BRAKE_INPUT","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_COM_OVERRIDE_ENABLE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosLoadBridge.cpp","1","FPinkCabChaosLoadBridge","authoritative_physical","Runtime load-composed mass/CoM authority; applies VehicleLoadState to Chaos and refreshes mass properties."
"CHAOS_COM_OVERRIDE_VALUE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosLoadBridge.cpp","1","FPinkCabChaosLoadBridge","authoritative_physical","Runtime load-composed mass/CoM authority; applies VehicleLoadState to Chaos and refreshes mass properties."
"CHAOS_ENGINE_BRAKE_EFFECT","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_ENGINE_IDLE_RPM","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_ENGINE_MAX_RPM","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_ENGINE_MAX_TORQUE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_ENGINE_REV_MOI","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_FINAL_DRIVE","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_FORWARD_RATIOS","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosPhysicalProfile.cpp","1","FPinkCabChaosPhysicalProfile","configuration_seed","Versioned engine/transmission configuration seed applied before runtime control/load composition."
"CHAOS_HANDBRAKE_INPUT","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosVehicleDynamicsProvider.cpp","1","FPinkCabChaosVehicleDynamicsProvider","authoritative_physical","Final per-frame Chaos actuation surface; reads composed control state and writes Chaos inputs/torques."
"CHAOS_MASS_PROPERTIES","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosLoadBridge.cpp","1","FPinkCabChaosLoadBridge","authoritative_physical","Runtime load-composed mass/CoM authority; applies VehicleLoadState to Chaos and refreshes mass properties."
"CHAOS_MASS","Source/PinkCabVehicle/Private/Vehicle/PinkCabChaosLoadBridge.cpp","1","FPinkCabChaosLoadBridge","authoritative_physical","Runtime load-composed mass/CoM authority; applies VehicleLoadState to Chaos and refreshes mass properties."
