ID,Stage,Title,Existing_owner_reference,Depends_on,Status,Change,Acceptance_A,Acceptance_B
PHY-001,P00,Зафиксировать исполняемую базу,CD-848 / CD-645,,PLANNED,"Сверить main, полный SHA принятого авто, кандидат R4, путь запущенного exe и версии профиля; сохранить копию настроек.",Запущенный exe и manifest указывают один SHA.,Откат запускает прежний принятый автомобиль с прежним профилем.
PHY-002,P00,Карта владельцев состояния,CD-848 / CD-645,PHY-001,PLANNED,"Найти все записи в engine state, RPM, drive torque, clutch, gear, steer, wheel brake; построить таблицу writer→consumer.",Каждый runtime-параметр имеет одного авторитетного владельца.,Все AddForce/AddTorque/SetVelocity и дополнительные мосты классифицированы.
PHY-003,P00,Телеметрия причин тяги,CD-848 / CD-645,PHY-002,PLANNED,"Записать time, dt, raw/semantic input, engine state, combustion torque, clutch torque, wheel torque, gear, contact и slope с profile hash.",Выключение двигателя видно в одном временном ряду с конечным моментом.,Запись имеет ограниченный буфер и не теряет первые кадры дефекта.
PHY-004,P00,Эталонная трасса и прогон,CD-848 / CD-645,PHY-003,PLANNED,"Создать тестовые участки: горизонталь, уклон, неровность, слалом, торможение; записать базовые повторяемые входы.",Пять одинаковых стартов дают сопоставимые измерения при одном fixture.,30/60/120 FPS фиксируются вместе с физическим dt.
PHY-005,P01,Единое разрешение сгорания,CD-644 / CD-659,PHY-004,PLANNED,Связать все пути положительного момента с единым фактическим engine-running/fuel/ignition состоянием; очистить накопленные команды при stop.,Off + 100% E + первая передача не создаёт combustion torque.,Off + частичное сцепление + R не создаёт обходной тяги.
PHY-006,P01,Отделить накат от двигателя,CD-644 / CD-659,PHY-005,PLANNED,"Сохранить гравитацию, инерцию, контакт и сопротивления при Off; не обнулять скорость и не замораживать кузов.",Off в N на уклоне катится по физике.,Off после разгона на горизонтали замедляется без искусственного stop.
PHY-007,P01,"Старт, stall и повторный запуск",CD-644 / CD-659,PHY-006,PLANNED,Проверить переходы Off/Cranking/Running/Stalled и их очистку; не вводить новый способ управления запуском.,Провал RPM под нагрузкой переводит в stall без ремонта сохранением.,Повторный запуск восстанавливает тягу один раз без скрытого газа.
PHY-008,P01,Холостой ход 900–950,CD-644 / CD-659,PHY-007,PLANNED,"Свести номинал прогретого мотора, показания тахометра, аудио и тесты к одному профилю; 925 предложить как центральный target.",Прогретый исправный мотор в N держит 900–950 за 60 секунд после стабилизации.,После краткой перегазовки RPM возвращаются в диапазон без вечных колебаний.
PHY-009,P02,Единый путь конечного момента,CD-643 / CD-644 / CD-659,PHY-008,PLANNED,"Найти ветку частичного сцепления и все torque modifiers; применить общие пределы, знак, состояние двигателя и здоровье до передачи в Chaos.",Sweep сцепления не создаёт скачка тяги на границе ветвей.,Одинаковые ограничения действуют при полном и частичном сцеплении.
PHY-010,P02,Согласовать диапазоны RPM,CD-643 / CD-644 / CD-659,PHY-009,PLANNED,"Профиль должен отдельно хранить idle, red-zone, limiter и damage overspeed; заменить неподтверждённые независимые 6500/8500 после аудита.",Рабочая зона не вызывает damage только из-за старой константы.,Реально соединённая опасная пониженная передача проверяется по текущему профилю.
